$prefabs_item_unlocker_delve_boss_beehive_bee_waspspider_name=纪念品: 深渊黄蜂
$prefabs_item_unlocker_delve_boss_dreadnought_name=纪念品: 达克尼克无畏号II型
$prefabs_item_unlocker_delve_boss_golem_ampcannon_name=纪念品: 安博瑞等离子喷射器
$prefabs_item_unlocker_delve_boss_graveyard_wraith_boneblade_boss_name=纪念品: 骨刃死神
$prefabs_item_unlocker_delve_boss_jellyfish_name=纪念品: 依菲拉,深渊之王
$prefabs_item_unlocker_delve_boss_lobster_name=纪念品: 龙虾王
$prefabs_item_unlocker_delve_boss_luna_name=纪念品: 月亮女神
$prefabs_item_unlocker_delve_boss_manta_name=纪念品: 提曼斯,超级蝠鲼
$prefabs_item_unlocker_delve_boss_pinatagod_name=纪念品: 复仇之皮纳塔神
$prefabs_item_unlocker_delve_boss_prophet_name=纪念品: 恸哭先知
$prefabs_item_unlocker_delve_boss_saurianSwamp_diatryma_name=纪念品: 冠恐鸟
$prefabs_item_unlocker_delve_boss_saurianSwamp_quetzalcoatlus_name=纪念品: 羽蛇翼龙
$prefabs_item_unlocker_delve_boss_saurianSwamp_scissorhand_name=纪念品: 蜥蜴人
$prefabs_item_unlocker_delve_boss_saurianSwamp_trex_name=纪念品: 霸王龙
$prefabs_item_unlocker_delve_boss_saurianSwamp_triceratops_name=纪念品: 三角龙
$prefabs_item_unlocker_delve_boss_spikewalker_name=纪念品: 尖刺行者
$prefabs_item_unlocker_delve_boss_hydra_name=纪念品: 暗影九头蛇
$prefabs_item_unlocker_delve_boss_dragon_pirate_name=纪念品: 炮弹胡龙
$prefabs_item_unlocker_delve_boss_fae_wildfae_king=纪念品: 荒林妖精之王
$prefabs_item_unlocker_delve_boss_fae_wildfae_queen=纪念品: 荒林妖精女皇
$prefabs_item_unlocker_delve_boss_fae_wildfae_spider=纪念品: 荒原蜘蛛
